Mnemonic,Ord.Mnemonic,Test,TestName,OrderingRecommendation,LOINC,SPECIMENREQUIREMENTS,SampleType,PreferredContainer,AlternateContainer,SampleVolume,HandlingInstructions,Transport,SpecimenStability,UnsuitableSpecimen,TESTING,Frequency,ExpectedTurnAround,ReferenceRange,ResponsibleDept,ReferralLab,NYSDOHApprovalStatus,CPT,Methodology,ADDITIONALINFORMATION,COMPLIANCESTATEMENT,TestCodes
"HFE, HEMOCHROMATOSIS GENE PCR",,X801,HEMOCHROMATOSIS GENE PCR,,"C282Y (21695-2), H63D (21696-0), S65C (38380-2), Interpretation", ,Whole Blood,EDTA (Lavender Top) Tube,None,5.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 1 Week,Heparizined specimens., ,"Monday, Wednesday, Thursday",2 - 4 Days,Reference ranges will be applied per report,Molecular,,Not currently NYSDOH approved,81256,PCR with allele-specific TaqMan probes,,This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"C282Y HEMOCHROM MUT,H63D HEMOCHROM MUT,S65C HEMOCHROM MUT"
HIV-1 GENOTYPE RT-PC,,U275,HIV-1 GENOTYPE,,HIV-1 Genotype (48558-1), ,Plasma,EDTA (Lavender Top) Tube,None,3.0 mL,Separate plasma from whole blood within 30 minutes of collection by centrifugation at 1000-2000 x g for 15 minutes (or per tube manufacturer's instructions) at room temperature. Transfer plasma immediately to a polypropylene tube for transport. Please submit a separate tube for this test.,Refrigerated or Frozen,Ambient: 1 Day; Refrigerated: 6 Days; Frozen: 6 Weeks,Serum samples. Heparinized specimens., ,Varies,12 - 14 Days,Reference ranges will be applied per report,Molecular,,Approved,87901,Reverse transcription polymerase chain reaction (RT-PCR)/Sequencing,This test has not been approved by the Food and Drug Administration (FDA) when the viral load is less than 2000 copies/mL. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL) when the viral load is between 500 and 2000 copies/mL. HIV-1 viral loads below 500 copies/mL may not generate interpretable results.,FDA cleared or approved assay,"NRTI CLASS,EMTRIVA,EPIVIR,RETROVIR,VIDEX,VIREAD,ZERIT,ZIAGEN,NNRTI CLASS,EDURANT,INTELENCE,SUSTIVA,VIRAMUNE,PI CLASS,APTIVUS,CRIXIVAN,FORTOVASE/INVIRASE,KALETRA,LEXIVA,PREZISTA,REYATAZ,VIRACEPT,DRUG CLASS,NRTI CLASS MUT ID,NNRTI CLASS MUT ID,PI CLASS MUT ID,ADD MUTATIONS,PROTEASE,REVERSE TRANSCRIPTASE"
"HIV-1 INTEGRASE INH. RES., HIV-1 INTEGRASE INHIBITOR, RALTEGRAVIR RESISTANCE",,U276,HIV-1 INTEGRASE,,"HIV integrase inhibitor mutations by genotype method (72560-6), Dolutegravir susceptibility (72857-6), Elvitegravir susceptibility (72526-7), Raltegravir susceptibility (72525-9), HIV-1 integrase gene mutations detected (61199-6)", ,Plasma,EDTA (Lavender Top) Tube,None,3.0 mL,Separate plasma from whole blood within 30 minutes of collection by centrifugation at 1000-2000 x g for 15 minutes (or per tube manufacturer's instructions) at room temperature. Transfer plasma immediately to a polypropylene tube for transport. Please submit a separate tube for this test.,Refrigerated or Frozen,Ambient: 1 Day; Refrigerated: 6 Days; Frozen: 6 Weeks,Serum samples. Heparinized specimens., ,Varies,12 - 14 Days,Reference ranges will be applied per report,Molecular,,Not currently NYSDOH approved,87906,Reverse transcription polymerase chain reaction (RT-PCR)/Sequencing,HIV-1 viral loads below 500 copies/mL may not generate interpretable results.,This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"DOLUTEGRAVIR,ELVITEGRAVIR,RALTEGRAVIR,MAJ RESIST MUT,ACCESSORY MUT,OTHER MUT"
HIV-1 RNA PCR,,U210,HIV-1 PCR QUANTITATIVE,,"HIV-1 RNA PCR Copies (20447-9), HIV-1 RNA PCR Log 10", ,Plasma,EDTA (Lavender Top) Tube,BD PPT Tube *see below*,"3.0 mL (1.5 mL minimum, does not allow for repeat testing)",Separate plasma from whole blood within 24 hours of collection by centrifugation at 800-1600 x g for 20 minutes (or per tube manufacturer's instructions) at room temperature. Transfer plasma to a polypropylene tube for transport. Please submit a separate tube for each viral load ordered.,Refrigerated or Frozen,Ambient: 1 Day; Refrigerated: 6 Days; Frozen: 6 Weeks,Serum samples. Heparinized specimens.Frozen BD PPT Tubes *see below*., ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 3 Days,Not Detected,Molecular,,Approved,87536,Polymerase chain reaction (PCR) by Roche COBAS AmpliPrep/TaqMan v2.0,"Range of quantitation: 20-10,000,000 copies/mL or 1.301-7.000 log copies/mL.  Samples with HIV-1 RNA detected below the limit of quantitation are reported as <20 copies/mL.  Samples with no HIV-1 RNA detected are reported as 'NOT DETECTED'.*Handling and Transport Instructions forBD Vacutainer Plasma Preparation Tube (PPT)*Shipment of plasma in situ in the BD PPT tube:Collect and centrifuge BD PPT tube per manufacturer's instructions.Transport BD PPT tube at refrigerated temperature with a stability of 5 days.DO NOT transport BD PPT tube at frozen temperature.Preparation of plasma aliquot from BD PPT tube for shipment:Collect and centrifuge BD PPT tube per manufacturer's instructions.Pour-off/aliquot specimen to a transport tube and ship at refrigerated or frozen temperature with a stability of 6 days and 6 weeks, respectively.NOTE:  If the specimen was initially transported in situ in the BD PPT tube, samples must be re-centrifuged at 600 x g for 5 minutes prior to pour-off/aliquoting.",FDA cleared or approved assay,"HIV-1 RNA PCR COPIES ,HIV-1 RNA PCR LOG 10 "
HIV-1 RNA PCR QUANTITATIVE/QUALITATIVE,,U212,HIV-1 PCR QN/QL,,"HIV-1 RNA PCR Copies (20447-9), HIV-1 RNA PCR Log 10, HIV-1 PCR Qualitative", ,Plasma,EDTA (Lavender Top) Tube,BD PPT Tube *see below*,"3.0 mL (1.5 mL minimum, does not allow for repeat testing)",Separate plasma from whole blood within 24 hours of collection by centrifugation at 800-1600 x g for 20 minutes (or per tube manufacturer's instructions) at room temperature. Transfer plasma to a polypropylene tube for transport. Please submit a separate tube for each viral load ordered.,Refrigerated or Frozen,Ambient: 1 Day; Refrigerated: 6 Days; Frozen: 6 Weeks,Serum samples. Heparinized specimens.Frozen BD PPT Tubes *see below*., ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 3 Days,Not Detected,Molecular,,Approved,87536,Polymerase chain reaction (PCR) by Roche COBAS AmpliPrep/Taqman v2.0,"Range of quantitation: 20-10,000,000 copies/mL or 1.301-7.000 log copies/mL.  Samples with HIV-1 RNA detected below the limit of quantitation are reported as <20 copies/mL.  Samples with no HIV-1 RNA detected are reported as 'NOT DETECTED'.  Qualitative result is negative if HIV-1 RNA not detected and positive if detected or quantified.*Handling and Transport Instructions forBD Vacutainer Plasma Preparation Tube (PPT)*Shipment of plasma in situ in the BD PPT tube:Collect and centrifuge BD PPT tube per manufacturer's instructions.Transport BD PPT tube at refrigerated temperature with a stability of 5 days.DO NOT transport BD PPT tube at frozen temperature.Preparation of plasma aliquot from BD PPT tube for shipment:Collect and centrifuge BD PPT tube per manufacturer's instructions.Pour-off/aliquot specimen to a transport tube and ship at refrigerated or frozen temperature with a stability of 6 days and 6 weeks, respectively.NOTE: If the specimen was initially transported in situ in the BD PPT tube, samples must be re-centrifuged at 600 x g for 5 minutes prior to pour-off/aliquoting.",FDA cleared or approved assay,"HIV-1 RNA PCR COPIES ,HIV-1 RNA PCR LOG 10 ,HIV QL INTERP"
HIV-1 RNA REFLEX GENOTYPE,,U211,HIV-1 PCR QUANTITATIVE WITH REFLEX TO GENOTYPE,,"HIV-1 RNA PCR Copies (20447-9), HIV-1 RNA PCR Log 10", ,Plasma,EDTA (Lavender Top) Tube,BD PPT Tube *see below*,"5.0 mL (3.0 mL minimum, does not allow for repeat testing)",Separate plasma from whole blood within 24 hours of collection by centrifugation at 800-1600 x g for 20 minutes (or per tube manufacturer's instructions) at room temperature. Transfer plasma to a polypropylene tube for transport. Please submit a separate tube for each viral load ordered.,Refrigerated or Frozen,Ambient: 1 Day; Refrigerated: 6 Days; Frozen: 6 Weeks,Serum samples. Heparinized specimens.Frozen BD PPT Tubes *see below*., ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 3 Days,Not Detected,Molecular,,Approved,87536,Polymerase chain reaction (PCR) by Roche COBAS AmpliPrep/TaqMan v2.0,"Range of quantitation: 20-10,000,000 copies/mL or 1.301-7.000 log copies/mL.  Samples with HIV-1 RNA detected below the limit of quantitation are reported as <20 copies/mL.  Samples with no HIV-1 RNA detected are reported as 'NOT DETECTED'.Reflex criteria: Samples with an HIV-1 viral load of greater than 500 copies/mL will be reflexed to HIV-1 genotype RT-PCR (U275) with additional CPT code and charges.*Handling and Transport Instructions forBD Vacutainer Plasma Preparation Tube (PPT)*Shipment of plasma in situ in the BD PPT tube:Collect and centrifuge BD PPT tube per manufacturer's instructions.Transport BD PPT tube at refrigerated temperature with a stability of 5 days.DO NOT transport BD PPT tube at frozen temperature.Preparation of plasma aliquot from BD PPT tube for shipment:Collect and centrifuge BD PPT tube per manufacturer's instructions.Pour-off/aliquot specimen to a transport tube and ship at refrigerated or frozen temperature with a stability of 6 days and 6 weeks, respectively.NOTE: If the specimen was initially transported in situ in the BD PPT tube, samples must be re-centrifuged at 600 x g for 5 minutes prior to pour-off/aliquoting.",FDA cleared or approved assay,"HIV-1 RNA PCR COPIES ,HIV-1 RNA PCR LOG 10 "
HIV-1 RNA REFLEX GENOTYPE INTEGRASE,,U215,HIV-1 PCR QUANT WITH REFLEX GENOTYPE AND INTEGRASE,,"HIV-1 RNA PCR Copies (20447-9), HIV-1 RNA PCR Log 10", ,Plasma,EDTA (Lavender Top) Tube,BD PPT Tube *see below*,"5.0 mL (3.0 mL minimum, does not allow for repeat testing)",Separate plasma from whole blood within 24 hours of collection by centrifugation at 800-1600 x g for 20 minutes (or per tube manufacturer's instructions) at room temperature. Transfer plasma to a polypropylene tube for transport. Please submit a separate tube for each viral load ordered.,Refrigerated or Frozen,Ambient: 1 Day; Refrigerated: 6 Days; Frozen: 6 Weeks,Serum samples. Heparinized specimens.Frozen BD PPT Tubes *see below*., ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 3 Days,Not Detected,Molecular,,Approved,87536,Polymerase chain reaction (PCR) by Roche COBAS AmpliPrep/TaqMan v2.0,"Range of quantitation: 20-10,000,000 copies/mL or 1.301-7.000 log copies/mL. Samples with HIV-1 RNA detected below the limit of quantitation are reported as <20 copies/mL. Samples with no HIV-1 RNA detected are reported as 'NOT DETECTED'.Reflex criteria: Samples with an HIV-1 viral load of greater than 500 copies/mL will be reflexed to HIV-1 Genotype RT-PCR (U275) AND HIV-1 Integrase RT-PCR (U276) with additional CPT codes and charges.*Handling and Transport Instructions forBD Vacutainer Plasma Preparation Tube (PPT)*Shipment of plasma in situ in the BD PPT tube:Collect and centrifuge BD PPT tube per manufacturer's instructions.Transport BD PPT tube at refrigerated temperature with a stability of 5 days.DO NOT transport BD PPT tube at frozen temperature.Preparation of plasma aliquot from BD PPT tube for shipment:Collect and centrifuge BD PPT tube per manufacturer's instructions.Pour-off/aliquot specimen to a transport tube and ship at refrigerated or frozen temperature with a stability of 6 days and 6 weeks, respectively.NOTE: If the specimen was initially transported in situ in the BD PPT tube, samples must be re-centrifuged at 600 x g for 5 minutes prior to pour-off/aliquoting.",HIV-1 PCR and HIV-1 Genotype: FDA cleared or approved assayHIV-1 Integrase:This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"HIV-1 RNA PCR COPIES ,HIV-1 RNA PCR LOG 10 "
HIV-1 RNA REFLEX INTEGRASE,,U214,HIV-1 PCR QUANT WITH REFLEX INTEGRASE,,"HIV-1 RNA PCR Copies (20447-9), HIV-1 RNA PCR Log 10", ,Plasma,EDTA (Lavender Top) Tube,BD PPT Tube *see below*,"5.0 mL (3.0 mL minimum, does not allow for repeat testing)",Separate plasma from whole blood within 24 hours of collection by centrifugation at 800-1600 x g for 20 minutes (or per tube manufacturer's instructions) at room temperature. Transfer plasma to a polypropylene tube for transport. Please submit a separate tube for each viral load ordered.,Refrigerated or Frozen,Ambient: 1 Day; Refrigerated: 6 Days; Frozen: 6 Weeks,Serum samples. Heparinized specimens.Frozen BD PPT Tubes *see below*., ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 3 Days,Not Detected,Molecular,,Approved,87536,Polymerase chain reaction (PCR) by Roche COBAS AmpliPrep/TaqMan v2.0,"Range of quantitation: 20-10,000,000 copies/mL or 1.301-7.000 log copies/mL. Samples with HIV-1 RNA detected below the limit of quantitation are reported as <20 copies/mL. Samples with no HIV-1 RNA detected are reported as 'NOT DETECTED'.Reflex criteria: Samples with an HIV-1 viral load of greater than 500 copies/mL will be reflexed to HIV-1 Integrase RT-PCR (U276) with additional CPT code and charges.*Handling and Transport Instructions forBD Vacutainer Plasma Preparation Tube (PPT)*Shipment of plasma in situ in the BD PPT tube:Collect and centrifuge BD PPT tube per manufacturer's instructions.Transport BD PPT tube at refrigerated temperature with a stability of 5 days.DO NOT transport BD PPT tube at frozen temperature.Preparation of plasma aliquot from BD PPT tube for shipment:Collect and centrifuge BD PPT tube per manufacturer's instructions.Pour-off/aliquot specimen to a transport tube and ship at refrigerated or frozen temperature with a stability of 6 days and 6 weeks, respectively.NOTE: If the specimen was initially transported in situ in the BD PPT tube, samples must be re-centrifuged at 600 x g for 5 minutes prior to pour-off/aliquoting.",HIV-1 PCR: FDA cleared or approved assayHIV-1 Integrase:This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"HIV-1 RNA PCR COPIES ,HIV-1 RNA PCR LOG 10 "
"HLA-B*5701, HLAB57, HLA-B57",,X950,HLA-B5701 BY PCR,,HLA-B*5701 by PCR (50956-2), ,Whole Blood,EDTA (Lavender Top) Tube,None,3.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 1 Week,Heparinized specimens, ,"Tuesday, Thursday",5 - 7 Days,Reference ranges will be applied per report,Molecular,,Approved,81381,PCR and sequence specific oligonucleotide (SSO) probes,,FDA cleared or approved assay,HLA-B5701 BY PCR
"HSV 1/2 BY PCR, HSV 1/2 TP/SU, HSV 1/2 APT",,U851,HSV 1 AND 2 BY PCR,,"HSV 1 (44868-8), HSV 2 (44868-8)", ,APTIMA Vaginal Swab (Orange),APTIMA Collection Container/Swab (Orange),ThinPrep or SurePath,1 Swab,Transport APTIMA swab ambient or refrigerated. APTIMA stability:Ambient: 2 Weeks; Refrigerated: 2 WeeksTransport ThinPrep or SurePath ambient.TP/SU stability:Ambient: 3 Weeks,See Handling Instructions,See Handling Instructions,Specimen from male patients. Specimen other than swab. Frozen specimens. , ,"Monday, Tuesday, Wednesday, Thursday, Friday",3 - 5 Days,Negative,Molecular,,Not currently NYSDOH approved, 87529 x 2,Polymerase chain reaction (PCR)/Melting curve analysis,,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). Analyte specific reagents are used.쟕he test has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. The results are not intended to be used as the sole means for clinical diagnosis or patient management. This test should not be regarded as investigational or for research use. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"HSV 1,HSV 2"
"HUMAN EPIDIDYMIS PRO4, HE 4, HUMAN HE4 ANTIGEN",,E560,HUMAN EPIDIDYMIS PROTEIN 4,,"HE4, Ovarian CA monitor (55180-4)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze.,Frozen,Ambient: 5 Hours; Refrigerated: 2 Days; Frozen: 3 Months,Heat-inactivated samples., ,Monday,6 - 8 Days,Reference ranges will be applied per report,Core Laboratory,,Not currently NYSDOH approved,86305,Electrochemiluminescence Immunoassay (ECLIA),Samples should not be taken from patients receiving therapy with high biotin doses (i.e. >5mg/day) until at least 8 hours following the last biotin administration.,FDA cleared or approved assay,HUMAN EPIDIDYMIS PRO4
"INFLAMMATORY BOWEL DISEASE PANEL, IBD PANEL",,F540,IBD PANEL,,"S. cerevisiae IgG (47321-5), S. cerevisiae IgA (47320-7), Atypical pANCA (17357-5)",   ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells within two hours of collection. Aliquot and refrigerate or freeze.,Refrigerated or Frozen,Ambient: 8 Hours; Refrigerated: 21 Days; Frozen: 3 Months,"Grossly hemolyzed, lipemic, microbially contaminated, or heat-inactivated samples. Specimen containing azide or any visible particulate.", ,"Tuesday, Thursday",1 - 3 Days,S. cerevisiae IgG:  <20.1 UnitsS. cerevisiae IgA:  <20.1 UnitsAtypical pANCA:Negative: <1:20 Positive: 1:20 or greater,Core Laboratory,,Approved,"86671 x 2, 86255","Enzyme-Linked Immunosorbent Assay (ELISA), Indirect Immunofluorescence (IFA)",,FDA cleared or approved assay,"S CEREVISIAE IGG,S CEREVISIAE IGA,ANCA ATY PATTERN"
IODINE,,E769,"IODINE, SERUM",Useful for monitoring iodine levels in individuals taking iodine-containing medications. Urine iodine is preferred for the assessment of dietary iodine intake.,"Iodine, Serum (2494-3)",  ,Serum,Trace Metal Free No Additive (Royal Blue Top) Tube,None,"1.0 mL Serum (0.15 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and refrigerate.,Refrigerated,Ambient: 30 Days; Refrigerated: 6 Weeks; Frozen: 6 Weeks,Samples collected within 48 hours of administration of iodine or gadolinium contrast media. Samples collected using providone-iodine disinfectants (e.g. Betadine) during venipuncture., ,"Monday, Wednesday, Friday",1 - 5 Days,40.0 - 92.0 mcg/L,Analytical Chemistry,,Not currently NYSDOH approved,83018,Inductively coupled plasma-mass spectrometry (ICP-MS),"Elevated concentrations of trace elements in serum collected in tubes that are not trace element-free may be due to contamination. Results should be confirmed with a second specimen collected in a trace element-free tube, such as a royal blue sterile tube (no additive). Diet, medication, and nutritional supplements may introduce interfering substances. Upon the advice of their physician, patients should be encouraged to discontinue nutritional supplements, vitamins, minerals, and non-essential over-the-counter medications for one week prior to collection. Avoid exposure to contrast media for 96 hours prior to collection.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"IODINE, SERUM"
JAK2 V617F MUTATION,,U750,JAK2 V617F MUTATION,,JAK2 V617F Mutant Alleles Identified (53761-3), ,Whole Blood,EDTA (Lavender Top) Tube,None,5.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Month,Clotted specimens. Frozen samples. Heparinized specimens., ,"Tuesday, Friday",2 - 4 Days,Negative,Molecular,,Approved,81270,Quantitative Real-Time Polymerase Chain Reaction (PCR),,This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"JAK2 INTERP,% ALLELES"
"LACTATE DEHYDROGENASE ISOENZYMES, LD ISOENZYMES, LDISO, LDH ISOENZYMES",,E165,LD ISOENZYMES,,"LD Total (14804-9), LD1 Isoenzyme (2536-1), LD2 Isoenzyme (2539-5), LD3 Isoenzyme (2542-9), LD4 Isoenzyme (2545-2), LD5 Isoenzyme (2548-6)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,CRITICAL ROOM TEMPERATURE. Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and transfer to a plastic transport tube. Avoid hemolysis. ,Ambient,Ambient: 1 Week,Refrigerated or frozen samples. Hemolyzed specimens.  Specimens collected in EDTA (Lavender Top) or Fluoride (Gray Top) tubes., ,"Tuesday, Thursday",1 - 3 Days,Age specific reference ranges will be applied per report,Core Laboratory,,Approved,"83615, 83625",Photometric/Kinetic Electrophoresis,,FDA cleared or approved assay,"LD TOTAL,LD1 ISOENZYME,LD2 ISOENZYME,LD3 ISOENZYME,LD4 ISOENZYME,LD5 ISOENZYME"
LACTOFERRIN,,F535,LACTOFERRIN,,"Lactoferrin, Fecal (40703-1)", ,Stool,"Tightly sealed, leak-proof plastic container",None,5.0 g preferred (1.0 g minimum),Refrigerate specimen after collection.,Refrigerated,Ambient: 2 Weeks; Refrigerated: 2 Weeks,"Specimens that have been collected or stored in 10% formalin, merthiolate formalin, sodium acetate formalin, or polyvinyl alcohol fixatives.", ,"Monday, Wednesday, Friday",1 - 3 Days,Negative,Core Laboratory,,Approved,83630,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,LACTOFERRIN
"LAMOTRIGINE, LAMICTAL",,L170,LAMOTRIGINE,,Lamotrigine (6948-4), ,Serum or Plasma,Plain Red Top Tube,"EDTA (Lavender Top) Tube, Fluoride (Gray Top) Tube, or Heparin (Green Top) Tube","1.0 mL (0.2 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions.  Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and refrigerate. Please submit a separate tube for this test.,Refrigerated,Ambient: 4 Days; Refrigerated: 2 Weeks; Frozen: 1 Month,Samples collected in serum separator tubes., ,"Tuesday, Thursday, Sunday",2 - 4 Days,2.5 - 15.0 mcg/mL,Analytical Chemistry,,Approved,80175,Liquid chromatography/tandem mass spectrometry (LC-MS/MS),"Ideal sampling time for all antiepileptic drugs is immediately before the next oral dose (trough).  If this is not possible, patients should not be advised to delay their scheduled dose for longer than 2-3 hours.  Sample collection and the time that the medication was last ingested should be noted on the requisition.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,LAMOTRIGINE
"LDL SUBCLASS, LIPOPRINT",,E410,LIPOPRINT,LDL subfraction measurement as alternate cardiovascular risk factor.,"Total Cholesterol (2093-3), VLDL (2091-7), Midband C (IDL) (51004-0), Midband B (IDL) (51003-2), Midband A (IDL) (51002-4), LDL subfraction 1 (43392-0), LDL subfraction 2 (46984-1), LDL subfraction 3 (46985-8), LDL subfraction 4 (43393-8), LDL subfraction 5 (57938-3), LDL subfraction 6 (49026-8), LDL subfraction 7 (49027-6), Total LDL (2089-1), HDL (2085-9), LDL Phenotype (35505-7)", ,Serum (12 hours fasting),Serum Separator Tube,Plain Red Top Tube,1.0 mL,CRITICAL REFRIGERATED. Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and refrigerate immediately.,Refrigerated,Refrigerated: 7 Days ,Non-fasting serum. Ambient or frozen specimens. Heparinized samples., ,"Tuesday, Thursday",1 - 5 Days,Reference ranges will be applied per report,Core Laboratory,,Approved,"83701, 82465",Electrophoresis,"The Lipoprint assay is a FDA cleared in vitro lipoprotein subfraction testing system that measures cholesterol levels in all lipoprotein fractions and subfractions in fasting serum.  The system uses precast polyacrylamide gel electrophoresis to separate lipoprotein subfractions.  Cholesterol in each subfraction is visualized with a lipophilic dye that binds proportionally to cholesterol in each lipoprotein particle.  The gels are scanned and analyzed with software that generates a profile of cholesterol content across all lipoprotein fractions.  Normal profiles consisting primarily of larger, buoyant LDL-1 and LDL-2 subfractions are designated as 'Type A'.  Profiles with predominantly smaller and denser subfractions, LDL-3 through LDL-7, are abnormal and designated as 'non-A'.  The non-A pattern is also called 'Type B' in the literature.  The non-A or type B pattern, with a predominance of small, dense lipoprotein particles, has been associated with risk of myocardial infarction and with response to diet therapy for coronary artery disease.  A color coded profile is generated for easy interpretation and provided as a downloadable PDF with each report.  ",FDA cleared or approved assay,"TOTAL CHOLESTEROL,VLDL,MIDBAND C (IDL),MIDBAND B (IDL),MIDBAND A (IDL),LDL SUBFRACTION 1,LDL SUBFRACTION 2,LDL SUBFRACTION 3,LDL SUBFRACTION 4,LDL SUBFRACTION 5,LDL SUBFRACTION 6,LDL SUBFRACTION 7,TOTAL LDL,HDL ,LDL PHENOTYPE"
"LEAD, LEAD BLOOD VENOUS",,L657,LEAD BLOOD VENOUS,,Lead blood (5671-3), ,Whole Blood,Trace Metal Free EDTA (Royal Blue Top) Tube,EDTA (Lavender Top) Tube or K2EDTA (Tan Top) Tube,"0.5 mL (0.2 mL minimum, does not allow for repeat testing)",Refrigerate specimen after collection.,Refrigerated,Ambient: 2 Days; Refrigerated: 2 Weeks,Clotted specimens. Frozen samples., ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",2 - 3 Days,"<5 mcg/dL (ABLES Case Definition (NIOSH, 2015); CDC Nationally Notifiable Condition (2015)).",Analytical Chemistry,,Not currently NYSDOH approved,83655,Inductively coupled plasma-mass spectrometry (ICP-MS),A specimen collected in a non-trace metal free container may result in a falsely elevated result. A repeat venipuncture specimen should be collected in a trace metal free container if clinically indicated.,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,LEAD BLOOD
